Category,min_size_mm,max_size_mm,Tiny (1-3 mm),Small (3-10mm),Medium (10-50 mm),Large (50-150 mm),FBR (greater than 150 mm)
Steel Pipes,0,50,1.50E-05,6.42E-06,2.80E-06,1.02E-06,0.00E+00
Steel Pipes,51,100,1.24E-05,5.18E-06,2.19E-06,7.61E-07,0.00E+00
Steel Pipes,101,150,9.67E-06,3.95E-06,1.62E-06,3.30E-07,2.09E-07
Steel Pipes,151,200,8.62E-06,3.63E-06,1.54E-06,3.26E-07,2.16E-07
Steel Pipes,201,250,8.65E-06,3.89E-06,1.79E-06,4.10E-07,3.02E-07
Steel Pipes,251,300,8.62E-06,4.14E-06,2.05E-06,5.12E-07,4.23E-07
Steel Pipes,301,450,8.10E-06,4.73E-06,2.96E-06,9.45E-07,1.14E-06
Steel Pipes,451,600,7.69E-06,4.85E-06,3.33E-06,1.17E-06,1.67E-06
Steel Pipes,601,9999,7.69E-06,4.85E-06,3.33E-06,1.17E-06,1.67E-06
Flexible Piping,0,50,5.86E-04,3.06E-04,1.68E-04,9.14E-05,0.00E+00
Flexible Piping,51,100,3.21E-04,1.88E-04,1.18E-04,8.36E-05,0.00E+00
Flexible Piping,101,150,1.05E-04,6.94E-05,5.00E-05,1.85E-05,2.93E-05
Flexible Piping,151,200,3.10E-05,2.19E-05,1.71E-05,6.89E-06,1.31E-05
Flexible Piping,201,250,2.51E-05,1.84E-05,1.51E-05,6.35E-06,1.35E-05
Flexible Piping,251,300,1.96E-05,1.49E-05,1.28E-05,5.68E-06,1.36E-05
Flexible Piping,301,450,6.68E-06,5.72E-06,5.66E-06,2.88E-06,1.08E-05
Flexible Piping,451,600,3.20E-06,2.86E-06,2.99E-06,1.61E-06,7.53E-06
Flexible Piping,601,9999,3.20E-06,2.86E-06,2.99E-06,1.61E-06,7.53E-06
Flanged Joints,0,50,4.37E-06,1.96E-06,9.02E-07,3.60E-07,0.00E+00
Flanged Joints,51,100,5.66E-06,2.53E-06,1.16E-06,4.57E-07,0.00E+00
Flanged Joints,101,150,6.97E-06,3.10E-06,1.41E-06,3.20E-07,5.58E-07
Flanged Joints,151,200,8.55E-06,3.71E-06,1.63E-06,3.57E-07,7.76E-07
Flanged Joints,201,250,1.05E-05,4.32E-06,1.80E-06,3.70E-07,1.01E-06
Flanged Joints,251,300,1.24E-05,4.90E-06,1.93E-06,3.74E-07,1.25E-06
Flanged Joints,301,450,1.88E-05,6.42E-06,2.14E-06,3.45E-07,1.93E-06
Flanged Joints,451,600,2.14E-05,6.93E-06,2.16E-06,3.25E-07,2.19E-06
Flanged Joints,601,9999,2.14E-05,6.93E-06,2.16E-06,3.25E-07,2.19E-06
Manual Valves,0,50,1.49E-05,8.05E-06,4.58E-06,2.67E-06,0.00E+00
Manual Valves,51,100,1.60E-05,8.05E-06,4.21E-06,2.10E-06,0.00E+00
Manual Valves,101,150,1.71E-05,7.98E-06,3.83E-06,9.23E-07,7.27E-07
Manual Valves,151,200,2.06E-05,9.69E-06,4.69E-06,1.14E-06,9.52E-07
Manual Valves,201,250,2.49E-05,1.22E-05,6.19E-06,1.58E-06,1.46E-06
Manual Valves,251,300,2.89E-05,1.47E-05,7.82E-06,2.10E-06,2.10E-06
Manual Valves,301,450,3.84E-05,2.20E-05,1.35E-05,4.22E-06,5.27E-06
Manual Valves,451,600,4.11E-05,2.47E-05,1.60E-05,5.29E-06,7.23E-06
Manual Valves,601,9999,4.11E-05,2.47E-05,1.60E-05,5.29E-06,7.23E-06
Actuated Valves,0,50,1.46E-04,5.79E-05,2.30E-05,7.25E-06,0.00E+00
Actuated Valves,51,100,1.12E-04,4.80E-05,2.10E-05,7.67E-06,0.00E+00
Actuated Valves,101,150,8.01E-05,3.73E-05,1.79E-05,4.29E-06,3.60E-06
Actuated Valves,151,200,6.87E-05,3.25E-05,1.59E-05,3.89E-06,3.40E-06
Actuated Valves,201,250,7.17E-05,3.28E-05,1.54E-05,3.62E-06,2.98E-06
Actuated Valves,251,300,7.46E-05,3.30E-05,1.49E-05,3.37E-06,2.61E-06
Actuated Valves,301,450,8.33E-05,3.35E-05,1.35E-05,2.68E-06,1.70E-06
Actuated Valves,451,600,8.67E-05,3.35E-05,1.29E-05,2.45E-06,1.42E-06
Actuated Valves,601,9999,8.67E-05,3.35E-05,1.29E-05,2.45E-06,1.42E-06
Instrument Connection,0,25,1.20E-04,5.00E-05,2.66E-05,0.00E+00,0.00E+00
Instrument Connection,26,50,1.20E-04,5.00E-05,2.00E-05,6.60E-06,0.00E+00
Instrument Connection,51,9999,1.20E-04,5.00E-05,2.00E-05,6.60E-06,0.00E+00
Process Pressure Vessel,50,150,3.30E-04,1.70E-04,9.30E-05,4.90E-05,0.00E+00
Process Pressure Vessel,151,9999,3.30E-04,1.70E-04,9.30E-05,2.50E-05,2.40E-05
Centrifugal Pumps,50,150,2.70E-03,6.40E-04,1.40E-04,1.80E-05,0.00E+00
Centrifugal Pumps,151,9999,2.70E-03,6.40E-04,1.40E-04,1.40E-05,4.00E-06
Reciprocating Pumps,50,150,8.10E-04,5.50E-04,4.20E-04,4.40E-04,0.00E+00
Reciprocating Pumps,151,9999,8.10E-04,5.50E-04,4.20E-04,1.60E-04,2.80E-04
Centrifugal Compressor,50,150,3.40E-03,1.50E-03,6.70E-04,2.60E-04,0.00E+00
Centrifugal Compressor,151,9999,3.40E-03,1.50E-03,6.70E-04,1.50E-04,1.10E-04
Reciprocating Compressor,50,150,6.80E-03,3.10E-03,1.40E-03,5.60E-04,0.00E+00
Reciprocating Compressor,151,9999,6.80E-03,3.10E-03,1.40E-03,3.20E-04,2.40E-04
Shell & Tube (Shell HC),50,150,9.00E-04,4.30E-04,2.10E-04,9.70E-05,0.00E+00
Shell & Tube (Shell HC),151,9999,9.00E-04,4.30E-04,2.10E-04,5.30E-05,4.40E-05
Shell & Tube (Tube HC),50,150,3.90E-04,2.30E-04,1.50E-04,1.11E-04,0.00E+00
Shell & Tube (Tube HC),151,9999,3.90E-04,2.30E-04,1.50E-04,4.90E-05,6.20E-05
Plate & Frame / PCHE,50,150,5.60E-03,2.00E-03,6.80E-04,1.68E-04,0.00E+00
Plate & Frame / PCHE,151,9999,5.60E-03,2.00E-03,6.80E-04,1.10E-04,5.80E-05
Air Cooler,50,150,8.90E-04,3.10E-04,1.10E-04,2.73E-05,0.00E+00
Air Cooler,151,9999,8.90E-04,3.10E-04,1.10E-04,1.80E-05,9.30E-06
Filters,50,150,1.20E-03,4.40E-04,1.50E-04,3.90E-05,0.00E+00
Filters,151,9999,1.20E-03,4.40E-04,1.50E-04,2.60E-05,1.30E-05
Pig Traps,50,150,1.40E-03,7.40E-04,4.10E-04,2.20E-04,0.00E+00
Pig Traps,151,9999,1.40E-03,7.40E-04,4.10E-04,1.10E-04,1.10E-04
Pressure Vessel (Other),50,150,1.70E-03,1.10E-03,7.10E-04,5.60E-04,0.00E+00
Pressure Vessel (Other),151,9999,1.70E-03,1.10E-03,7.10E-04,2.40E-04,3.20E-04
Degasser,50,150,8.70E-04,5.50E-04,3.80E-04,3.40E-04,0.00E+00
Degasser,151,9999,8.70E-04,5.50E-04,3.80E-04,1.40E-04,2.00E-04
Expanders,50,150,2.30E-03,1.00E-03,4.50E-04,1.69E-04,0.00E+00
Expanders,151,9999,2.30E-03,1.00E-03,4.50E-04,9.90E-05,7.00E-05
Xmas Tree,50,150,2.40E-04,1.00E-04,4.40E-05,1.61E-05,0.00E+00
Xmas Tree,151,9999,2.40E-04,1.00E-04,4.40E-05,9.60E-06,6.50E-06
Turbine,50,150,6.90E-03,2.40E-03,7.90E-04,3.40E-04,0.00E+00
Turbine,151,9999,6.90E-03,2.40E-03,7.90E-04,1.30E-04,2.10E-04
SSIV Assembly,50,150,6.20E-04,3.30E-04,1.80E-04,1.33E-04,0.00E+00
SSIV Assembly,151,9999,6.20E-04,3.30E-04,1.80E-04,5.10E-05,8.20E-05
